Country,State,District,Year,Class Studying,"Schools Surveyed (UOM:Number), Scaling Factor:1","Students Surveyed (UOM:Number), Scaling Factor:1","Average Performance Of Students On E302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E307 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E310 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E313 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On E314 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On L312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M301 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M302 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M303 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M304 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M305 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M306 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M309 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M311 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M312 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M317 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M318 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1","Average Performance Of Students On M319 Learning Outcome  (UOM:%(Percentage)), Scaling Factor:1"
India,Bihar,Munger,"Calendar Year (Jan - Dec), 2021",3,108,1995,65.2,59.58,68.87,64.43,68.53,67.71,69.06,56.81,45.41,67.96,67.61,61.69,42.81,74.04,59.92,69.56,60.54,50.84,50.42,57.07,52.59,77.14,61.78,56.93
India,Bihar,Muzaffarpur,"Calendar Year (Jan - Dec), 2021",3,90,1800,57.92,41.8,57.08,55.31,56.46,55.91,57.15,47.06,37.89,54.09,57.86,53.02,41.08,64.21,47.16,56.99,47.08,40.92,38.4,50.27,45.17,68.82,52.21,39.76
India,Bihar,Nalanda,"Calendar Year (Jan - Dec), 2021",3,123,2484,56.86,48.56,64.18,55.68,63.63,62.78,66.69,55.15,40.67,62.85,66.87,57.39,49.63,75.76,63.12,69.87,57.71,47.8,41.77,57.87,53.33,79.85,62.29,54.5
India,Bihar,Nawada,"Calendar Year (Jan - Dec), 2021",3,78,1599,53.57,48.94,57.18,50.99,59.26,61.29,58.37,44.92,33.03,56.83,57.4,54.27,38.38,64.68,50.25,57.37,53.75,45.22,40.82,50.41,42.08,69.28,50.62,44.82
India,Bihar,Pashchim Champaran,"Calendar Year (Jan - Dec), 2021",3,108,2637,61.44,57.87,61.91,58.79,68.19,62.13,65.83,52.65,38.39,66.57,63.63,56.84,39.31,72.12,58.69,67.84,60.5,51.36,35.34,55.19,55.73,70.59,58.09,48.04
India,Bihar,Patna,"Calendar Year (Jan - Dec), 2021",3,129,2601,58.8,49.01,63.7,56.48,63.95,64.87,67.88,49.09,43.93,63.05,64.68,58.44,43.48,70.14,57.77,65.19,54.17,42.95,36.95,54.73,52.67,72.69,58.67,52.03
India,Bihar,Purbi Champaran,"Calendar Year (Jan - Dec), 2021",3,87,1872,64.42,50.95,65.21,56.32,65.52,66.51,73.61,56.3,44.97,69.22,64.05,57.92,50.8,76.14,61.84,64.97,67.03,56.46,45.95,61.34,54.42,78.73,63.89,55.01
India,Bihar,Purnia,"Calendar Year (Jan - Dec), 2021",3,90,2187,50.44,42.09,58.47,51.37,59.64,57.2,64.23,45.29,31.43,58.42,63.02,53.9,45.94,65.2,49.31,55.96,48.06,46.99,34.77,50.24,39.86,67.95,51.89,38.29
India,Bihar,Rohtas,"Calendar Year (Jan - Dec), 2021",3,126,2334,51.49,45.87,55.08,48.68,60.34,56.27,61.87,47.37,34.37,55.16,56.49,48.58,37.26,61.94,47.28,58.76,50.12,42.85,40.22,43.71,45.72,63.19,51.89,42.84
India,Bihar,Saharsa,"Calendar Year (Jan - Dec), 2021",3,72,1854,56.24,52.66,56.59,45.35,55.63,51.01,61.26,50.7,35,57,57.72,49.45,41.32,67.94,56.49,60.62,54.67,48.6,40.46,51.35,48.56,64.65,55.92,34.45
India,Bihar,Samastipur,"Calendar Year (Jan - Dec), 2021",3,102,2181,63.11,56.02,68.47,63.9,66.72,65.99,71.56,49.85,40.7,64.31,68.68,61.85,42.44,73.16,60.26,65.04,60.78,58.06,52.46,56.5,54.91,75.44,61.71,54.51
India,Bihar,Saran,"Calendar Year (Jan - Dec), 2021",3,105,2202,56.21,56.54,66.15,58.65,63.53,63.06,67.17,49.63,41.1,59.16,62.8,55.37,43.35,67.37,56.74,65.92,59.68,52.61,37.23,50.59,47.16,72.81,57.01,46.63
India,Bihar,Sheikhpura,"Calendar Year (Jan - Dec), 2021",3,72,1524,50.91,44.62,59.16,51.78,55.06,53.32,61.92,44.25,34.91,50.99,54.94,44.55,34.8,61.72,45.98,55.67,48.53,43.41,36.43,46.68,42.93,63.67,48.43,42.35
India,Bihar,Sheohar,"Calendar Year (Jan - Dec), 2021",3,78,1956,56.89,44.76,58.85,57.2,55.8,54.09,65.13,50.83,35.18,56.64,55.8,48.65,46.55,60.94,57.77,58.83,52.34,47.69,41.36,47.58,48.44,63.78,50.55,48.14
India,Bihar,Sitamarhi,"Calendar Year (Jan - Dec), 2021",3,99,2382,54.5,50.14,64.3,54.51,62.42,54.38,68.51,47.99,34.72,61.21,60.94,50.79,40,70.15,56.71,62.77,55.6,44.13,35.95,50.96,55.3,68.91,54,45.32
India,Bihar,Siwan,"Calendar Year (Jan - Dec), 2021",3,102,2163,56.67,45.46,60.41,52.11,59.39,58.48,62.5,48.94,37.19,59.02,58.07,53.75,39.05,67.8,53.32,59.39,54.81,47.62,40.89,51.25,50.52,66.32,53.45,48.42
India,Bihar,Supaul,"Calendar Year (Jan - Dec), 2021",3,117,2754,61.41,55.7,63.97,63.17,66.17,65.34,68.84,55.45,43.2,65.54,66.98,56.83,48.12,71.19,57.62,68.77,62.9,57.61,48.81,55.57,55.61,71.88,60.43,51.74
India,Bihar,Vaishali,"Calendar Year (Jan - Dec), 2021",3,96,2127,55.51,42.84,56.37,41.86,58.38,55.03,60.77,44.39,35.37,50.72,53.12,47.65,33.07,60.9,44.61,55.9,43.44,40.35,31.34,49.93,44.5,66.16,51.54,40.89
India,Chandigarh,Chandigarh,"Calendar Year (Jan - Dec), 2021",3,102,2976,64.75,51.45,68.83,56.75,62.66,73.51,68.93,58.02,47.23,65.44,67.46,64.71,48.11,72.39,54.52,60.2,52.09,44.18,43.92,59.09,48.27,74.4,61.03,63.56
India,Chhattisgarh,Balod,"Calendar Year (Jan - Dec), 2021",3,108,1965,53.97,45.34,60.7,44.4,56.58,56.28,53.57,51.53,31.56,49.73,53.08,46.86,35.96,60.09,40.72,46.79,34.87,39.23,37.25,49.07,39.04,60.28,41.63,42.02
India,Chhattisgarh,Balodabazar-Bhatapara,"Calendar Year (Jan - Dec), 2021",3,99,1986,48.29,45.24,52.22,43.92,52.6,50.56,53.76,44.62,31.44,48.29,53.27,47.84,34.66,58.32,41.15,49.97,42.03,41.41,37.77,45.42,39.02,58.84,41.61,44.88
India,Chhattisgarh,Balrampur Ramanujganj,"Calendar Year (Jan - Dec), 2021",3,141,2436,55.15,45.15,52.34,48.98,55.4,56.24,56.16,46.06,37.67,53.48,57.42,52.91,37.81,65.38,47.6,60.79,51.48,45.44,32.95,48.52,49.52,62.01,48.82,43.9
India,Chhattisgarh,Bastar,"Calendar Year (Jan - Dec), 2021",3,147,2091,56.56,41.54,54.81,43.4,52.54,59.16,54.45,45.03,32.53,53.73,54.8,48.5,35.14,56.7,39,46.65,43.72,29.55,34.22,46.48,37.17,61.3,46.52,44.83
India,Chhattisgarh,Bemetara,"Calendar Year (Jan - Dec), 2021",3,90,1704,45.04,39.78,44.79,39.42,51.38,47.27,50.71,45.16,32.14,44.89,45.09,41.41,28.57,50.74,34.16,41.89,38.84,36.48,30.98,40.84,41.56,46.41,39.56,33.2
India,Chhattisgarh,Bijapur,"Calendar Year (Jan - Dec), 2021",3,114,1665,42.75,41.34,50.96,38.12,48,43.76,54.29,44.36,25.33,42.62,49.37,43.16,37.33,54.98,44.01,56.11,39.65,32.12,26.38,43.34,34.85,59.1,38.21,34.64
India,Chhattisgarh,Bilaspur,"Calendar Year (Jan - Dec), 2021",3,129,2637,58.2,44.36,61.76,48.7,61.56,63.58,61.49,52.64,35.98,55.81,57.19,52.47,40.71,64.58,47.48,53.91,44.81,38.67,39.27,51.12,45.73,71.13,50.33,48.94
India,Chhattisgarh,Dakshin Bastar Dantewada,"Calendar Year (Jan - Dec), 2021",3,117,1938,52.73,40.37,52.67,45.42,53,56.99,56.1,47.85,32.23,51.79,51.05,49.71,41.88,58.92,36.89,50.73,38.7,39.06,39.04,49.41,41.02,61.28,49.79,35.63
India,Chhattisgarh,Dhamtari,"Calendar Year (Jan - Dec), 2021",3,123,1866,53.27,47.22,58.64,43.93,59.66,57.78,53.35,44.19,33.53,51.2,52.63,47.55,37.74,62.12,33.89,43.79,40.18,31.39,31.79,48.68,35.61,62.72,40.3,47.55
India,Chhattisgarh,Durg,"Calendar Year (Jan - Dec), 2021",3,111,2601,60.09,43.43,59.72,48.43,60.47,66.35,64.44,50.37,40.09,58.43,58.91,55.39,41.38,65.21,46.32,55.93,50.38,41.87,36.77,54.09,44.48,69.32,55.68,46.68
India,Chhattisgarh,Gariyaband,"Calendar Year (Jan - Dec), 2021",3,117,1893,60.04,48.16,62.95,49.82,63.73,57.29,61.91,54.66,40.2,54.59,60.67,50.5,39.64,65.6,44.45,56.12,45.24,43.54,39.78,48.34,39.23,67.17,49.71,44.91
India,Chhattisgarh,Janjgir-Champa,"Calendar Year (Jan - Dec), 2021",3,120,2142,44.83,36.83,44.74,37.32,46.37,48.44,50.34,37.17,31.38,41.91,41.62,39.05,34.4,44.48,31.27,40.32,33.26,24.77,29.13,40.62,33.11,45.71,37.04,34.75
India,Chhattisgarh,Jashpur,"Calendar Year (Jan - Dec), 2021",3,180,3057,48.93,41.21,48.65,40.09,46.56,47.83,48.68,43.7,31.66,43.62,46.64,41.87,33.04,51.92,32.37,41.74,36.8,30.43,26.74,42.43,36.05,49.77,37.9,34.01
India,Chhattisgarh,Kabeerdham,"Calendar Year (Jan - Dec), 2021",3,117,2184,38.43,39.18,42.54,33.89,41.78,40.07,43.41,36.77,27.68,37.81,39.84,37.32,27.34,43.14,25,34.11,29.66,32.69,26.36,32.72,30.7,40.66,31.59,28.1
India,Chhattisgarh,Kondagaon,"Calendar Year (Jan - Dec), 2021",3,129,1779,54.43,43.3,55,50.7,61.19,53.12,56.17,48.51,33.75,48.81,50.44,46.16,33.3,54.34,36.42,42.2,40.05,35.11,35.94,44.81,40.27,55.89,41.19,42.73
India,Chhattisgarh,Korba,"Calendar Year (Jan - Dec), 2021",3,135,2628,52.68,42.08,58.82,43.7,53.92,54.96,54.07,47.17,37.66,51.36,51.43,51.42,42.53,58.03,36.85,49.33,41.23,37.27,35.41,48.52,38.87,60.07,47.9,41.1
India,Chhattisgarh,Korea,"Calendar Year (Jan - Dec), 2021",3,156,2466,48.06,37.29,50.21,37.38,51.16,51.62,48.8,39.84,30.34,43.22,46.55,42.79,33.03,57.29,36.42,41.79,37.72,33.16,25.96,41.71,37.09,60.33,39.29,36.89
India,Chhattisgarh,Mahasamund,"Calendar Year (Jan - Dec), 2021",3,150,2466,62.06,51.69,61.92,55.66,63.33,60.82,67.87,53.47,45.51,63.93,66,59.26,40.43,69.64,53.22,64.22,51.3,50,45.67,52.6,49.69,68.31,57.5,46.04
India,Chhattisgarh,Mungeli,"Calendar Year (Jan - Dec), 2021",3,93,1887,50.53,44.77,53.36,46.12,52.79,51.63,61.99,46.05,34.27,52.53,51.17,48.76,42.07,61.89,41.33,54.53,44.98,45.52,38.67,43.33,40.29,60.48,46.08,39.06
India,Chhattisgarh,Narayanpur,"Calendar Year (Jan - Dec), 2021",3,135,2442,40.32,34.2,41.03,31.48,40.14,35.12,40.2,35.62,23.47,35.71,38.51,36,27.98,41.77,27.51,32.14,33.82,27.9,26.35,30.53,30.66,40.81,30.16,31.08
India,Chhattisgarh,Raigarh,"Calendar Year (Jan - Dec), 2021",3,141,2154,53.14,42.47,53.53,43.84,58.64,61.54,56.73,48.24,37.71,51.82,55.72,51.42,43.32,64.21,42.2,48.95,40.6,37.84,34.22,55.08,42.27,68.35,50.07,41.72
India,Chhattisgarh,Raipur,"Calendar Year (Jan - Dec), 2021",3,117,2691,50.4,37.1,50.18,39.14,46.26,55.3,51.32,39.37,35.72,45.79,47.58,44.98,40.91,56.76,33.39,41.85,38.54,30.21,33.2,43.51,38.17,58.12,43.44,40.29
India,Chhattisgarh,Rajnandgaon,"Calendar Year (Jan - Dec), 2021",3,126,2187,52.03,42.01,55.48,51.27,58.27,53.7,55.31,47.09,35.11,50.51,54.87,50.32,42.53,60.08,41.45,52.11,49.05,38.76,36.13,49.29,37.65,58.2,44.8,41.03
India,Chhattisgarh,Sukma,"Calendar Year (Jan - Dec), 2021",3,108,1926,47.74,34.63,49.4,42.96,51.98,45.72,55.43,40.1,31.71,45.23,51.39,47.86,27.15,52.12,36.9,43.64,40.18,31.69,31.78,42.86,37.45,56.75,37.23,40.03
India,Chhattisgarh,Surajpur,"Calendar Year (Jan - Dec), 2021",3,165,2148,63.8,50.5,65.39,53.83,61.38,61.06,63.84,57.46,40.37,61.72,62.98,57.95,39.68,68.68,49.61,58.89,46.91,39.71,36.47,52.64,48.07,72.89,55.23,49.86
India,Chhattisgarh,Surguja,"Calendar Year (Jan - Dec), 2021",3,159,2538,58.65,43.73,62.5,46.1,60.56,59.57,58.67,50.6,36.1,54.97,55.39,53.19,35.25,59.77,41.13,48.9,45.66,39.64,32.2,53.16,42.91,63.76,47.08,40.1
India,Chhattisgarh,Uttar Bastar Kanker,"Calendar Year (Jan - Dec), 2021",3,141,1797,52.84,43.69,53.43,45.02,55.15,55.32,55.77,47.82,35.66,51.1,54.87,49.14,40.07,62.44,40.75,50.09,46.22,41.57,35.94,51.57,39.25,62.33,47.12,43.17
India,Delhi,Central,"Calendar Year (Jan - Dec), 2021",3,93,1911,48.09,45.19,53.97,41.61,51.96,59.21,53.5,42.11,37.05,50.48,52.93,52.14,33.23,58.76,36.46,45.21,38.18,33.55,37.6,47.15,35.94,59.71,45.62,46.8
India,Delhi,East,"Calendar Year (Jan - Dec), 2021",3,108,2703,51,43.41,58.02,45.04,59.73,61.07,57.99,42.52,41.4,56.88,55.54,51.72,38.2,60.29,45.71,48.1,41.53,32.58,34,51.28,40.88,63.95,47.84,48.48
India,Delhi,New Delhi,"Calendar Year (Jan - Dec), 2021",3,99,2523,52,42.15,55.52,44.34,51.76,62.69,57.78,43.93,43.6,51.83,54.82,51.34,34.87,61.56,40.37,45.9,42.13,30.03,29,54.3,40.6,63.06,48.49,43.95
India,Delhi,North,"Calendar Year (Jan - Dec), 2021",3,96,2241,52.61,48.04,61.19,50.28,58.92,60.08,64.41,49.1,40.51,59.14,57.94,54.65,42.4,64.63,46.24,52.75,45.39,44.33,39.68,51.84,44.94,65.45,51.68,47.27
India,Delhi,North East,"Calendar Year (Jan - Dec), 2021",3,84,1869,44.26,42.18,51.89,37.99,48.83,52.23,49.77,39.66,32.4,42.5,42.16,44.13,31.93,50.1,34.61,39.94,37.48,30.38,34.91,45.59,37.4,53.51,38.6,37.31
India,Delhi,South,"Calendar Year (Jan - Dec), 2021",3,90,2163,58.79,49.91,57.28,50.79,56.99,64.45,62.09,49.25,40.63,58.88,58.84,55.61,41.59,68.3,46.71,52.97,46.85,38.46,37.03,55.09,47.87,67.36,54,49.55
India,Delhi,South East,"Calendar Year (Jan - Dec), 2021",3,102,2340,47.74,43.3,59.45,41.25,58.48,64.33,55.58,41.05,37.51,55.03,54.51,51.4,32.34,57.15,40.27,47.58,37.17,28.11,30.78,48.63,40.75,58.25,43.42,45.09
India,Delhi,Unknown Districts Of India,"Calendar Year (Jan - Dec), 2021",3,561,14247,,,,,,,,,,,,,,,,,,,,,,,,
India,Goa,North Goa,"Calendar Year (Jan - Dec), 2021",3,141,2532,61.25,50.07,60.86,50.59,64.68,65.14,65.98,55.4,46.09,64.06,61.99,59.44,44.83,68.58,51.05,54.15,47.72,42.9,38.29,60.62,47.14,67.22,51.93,53.96
India,Goa,South Goa,"Calendar Year (Jan - Dec), 2021",3,156,2748,64.9,52.5,63.14,55.01,66.17,70.51,68.98,56.29,47.56,66.39,65.83,60.76,41.01,70.82,46.1,52.11,45.14,37.59,38.88,56.73,48.14,71.33,56.36,52.58
India,Gujarat,Ahmadabad,"Calendar Year (Jan - Dec), 2021",3,120,3336,65.4,59.58,71.62,56.66,63.03,74.45,73.81,56.12,47.02,70.54,69.91,66.15,47.43,74.11,59.56,65.47,54.2,52.89,51.99,59.35,50.95,74.65,60.04,59.58
India,Gujarat,Amreli,"Calendar Year (Jan - Dec), 2021",3,90,1950,52.38,47.55,59.93,45.73,55.51,61.09,66.61,48.79,39.67,60.66,58.44,54.33,42.51,65.76,53.04,61.3,49.55,45.66,40.53,53.58,43.57,62.52,53.88,55.66
India,Gujarat,Anand,"Calendar Year (Jan - Dec), 2021",3,117,3060,63.17,61.75,69.82,55.18,61.18,71.35,76.16,55.34,46.74,69.43,67.68,61.76,47.04,73.28,54.24,66.32,49.33,48.62,48.65,55.92,51.68,71.69,57.6,59.64
India,Gujarat,Arvalli,"Calendar Year (Jan - Dec), 2021",3,108,2052,66.24,54.65,71.45,57.29,64.59,70.9,72.96,53.1,44.72,68.04,69.02,61.29,47.27,76.8,58.1,67.93,51.69,53.86,48.44,56.46,51.54,71.29,55.64,58.04
India,Gujarat,Banas Kantha,"Calendar Year (Jan - Dec), 2021",3,105,2550,62.07,49.96,65.55,52.47,62.76,65.77,72.06,50.38,45.31,66.41,63.1,56.13,44.72,72.98,51.86,62.69,41.47,47.14,48.37,51.91,52.48,72.28,54.33,46.93
India,Gujarat,Bharuch,"Calendar Year (Jan - Dec), 2021",3,102,2322,61.38,49.47,64.31,48.91,58.62,67.31,64.82,50.91,43.47,61.93,63.02,59.93,41.63,67.46,55.27,59.5,49.41,47.92,42.82,54.21,49.64,70.16,55.99,54.53
India,Gujarat,Bhavnagar,"Calendar Year (Jan - Dec), 2021",3,96,2349,63.54,52.9,73.59,50.35,57.72,65.22,71.83,55.09,40.67,68.57,68.51,59.17,40.16,68.81,50.95,67.47,46.47,51.27,46.31,56.56,48.9,73.03,53.83,57.75
India,Gujarat,Botad,"Calendar Year (Jan - Dec), 2021",3,69,1563,56.94,53.24,70,52.81,59.37,63.56,70.39,51.54,40.39,63.85,62.98,58.34,47.57,70.19,45.63,63.52,51.55,44.04,50.41,53.05,57.13,67.57,49.89,49.99
India,Gujarat,Chhotaudepur,"Calendar Year (Jan - Dec), 2021",3,108,2403,75.66,59.59,79.22,61.65,67.85,78.7,81.41,64.27,51.87,75.25,74.31,68.4,53.5,80.92,54.98,73.24,53.06,61.84,58.69,58.43,57.66,81.17,61.11,64.28
India,Gujarat,Dang,"Calendar Year (Jan - Dec), 2021",3,84,1686,72.31,64.93,79.94,58.15,66.09,72.78,79.26,65.15,50.51,75.33,73.85,68.87,49.37,80.01,61.02,72.89,55.83,57.55,53.57,62.86,57.74,80.04,65.39,64.24
India,Gujarat,Devbhumi Dwarka,"Calendar Year (Jan - Dec), 2021",3,96,2025,62.66,57.12,68.34,52.19,60.07,67.8,70.63,55.89,47.88,65.11,64.15,59.99,47.32,72.34,53.64,63.59,50.93,50.14,46.98,56.5,54.28,69,55.4,58.73
India,Gujarat,Dohad,"Calendar Year (Jan - Dec), 2021",3,111,2868,70.75,67.65,70.3,60.08,63.2,75.32,81.72,62.19,45.75,74.59,72.63,67,54.82,80.6,68.41,73.15,59.37,61.62,59.63,58.13,59.59,79.79,64.46,60.52
India,Gujarat,Gandhinagar,"Calendar Year (Jan - Dec), 2021",3,120,2835,66.23,59.62,72.29,57.88,64.1,76.7,73.37,55.96,43.46,71.88,69.05,65.86,49.68,76.95,57.61,63.04,51.16,47.3,44.18,58.79,54.58,75.38,62.51,63.65
India,Gujarat,Gir Somnath,"Calendar Year (Jan - Dec), 2021",3,78,1779,62.17,57.21,71.29,54.48,62.18,66.79,70.38,56.13,46.25,68.29,66.41,58.97,46.45,69.58,56.95,63.97,53.2,50.48,49.17,57.48,48.79,72.46,56.92,60.04
India,Gujarat,Jamnagar,"Calendar Year (Jan - Dec), 2021",3,129,2910,59.18,47.11,64.5,44.92,55.87,65.16,66.25,45.8,39.44,61.28,61.72,56.04,38.36,67.65,45.68,55.22,43.46,39.09,41.95,49.92,45.39,68.92,51.26,53.53
India,Gujarat,Junagadh,"Calendar Year (Jan - Dec), 2021",3,114,2097,71.02,60.71,71.08,51.85,62.54,75.68,76.35,56.07,43.92,71.85,73.08,65.26,47.12,77.77,58.64,70.64,57.41,57.5,48.41,56.33,51.7,78.79,63.32,64.39
India,Gujarat,Kachchh,"Calendar Year (Jan - Dec), 2021",3,123,2949,59.45,48.69,64.69,45.89,58.78,63.68,66.12,53.11,39.38,61.02,59.71,55.5,35.72,67.47,48.24,57.17,47.22,43.9,42.42,53.88,47.11,69.78,51.9,50.7
India,Gujarat,Kheda,"Calendar Year (Jan - Dec), 2021",3,114,2778,64.38,53.74,68.75,54.87,62.75,66.59,73.77,54.11,43.17,66.98,66.94,61.69,45.35,72.66,51.1,65.59,50.69,47.13,47.19,50.97,52.78,70.54,54.95,49.88
India,Gujarat,Mahesana,"Calendar Year (Jan - Dec), 2021",3,99,2610,68.3,63.37,71.67,53,63.76,70.14,78.42,60.36,51.55,70.69,70,61.2,50.5,75.89,63.62,70.84,56.65,51.2,51,62.25,56.15,74.9,63.56,59.44
India,Gujarat,Mahisagar,"Calendar Year (Jan - Dec), 2021",3,108,2037,63.91,57.15,69.12,53.93,63.89,70.03,76.96,57.03,38.7,70.31,71.06,63.64,47.79,77.53,62.09,73.48,55.88,54.83,54.18,52.66,49.12,75.34,59.42,55.83
India,Gujarat,Morbi,"Calendar Year (Jan - Dec), 2021",3,75,1923,65.31,55.89,71.32,53.38,58.73,71.1,74.68,53.63,44.66,69.89,67.3,63.86,44.36,70.62,54.33,68.12,52.51,50.93,50.16,55.44,49.41,68.79,57.41,53.9
India,Gujarat,Narmada,"Calendar Year (Jan - Dec), 2021",3,102,1821,73.09,68.03,78.95,61.16,65.77,75.34,82.3,64.1,44.66,77.19,73.46,69.53,48.52,80.85,61.77,76.16,61,60.47,59.14,68.22,60.54,83.06,64.32,60.6
India,Gujarat,Navsari,"Calendar Year (Jan - Dec), 2021",3,102,2331,59.62,52.22,64.72,45.62,59.8,65.09,67.3,52.62,41.82,62.81,58.69,53.56,44.29,65.81,47.97,52.53,46.12,41.88,40.63,57.11,45.77,69.19,53.13,58.67
India,Gujarat,Panch Mahals,"Calendar Year (Jan - Dec), 2021",3,105,2625,69.56,58.32,72.92,54.89,62.67,70.96,77.98,59.74,40.75,73.92,72.94,65.21,47.25,74.54,61.14,70.17,55.23,56.45,54.24,59.33,50.96,77.48,60.97,56.43
India,Gujarat,Patan,"Calendar Year (Jan - Dec), 2021",3,108,2655,53,44.39,64.01,44.9,51.4,55.55,65.45,49.25,37.94,56.9,59.23,53.92,39.6,67.48,48.96,59.86,46.65,45.74,47.13,47.18,51.2,65.86,49.64,49
India,Gujarat,Porbandar,"Calendar Year (Jan - Dec), 2021",3,96,2007,54.5,48.57,65.99,42.4,59.16,64.6,59.87,44.48,38.32,59.47,59.14,53.52,38.26,63.65,46.37,49.24,45.03,37.38,38.4,49.44,41.37,66.26,53.29,50.04
India,Gujarat,Rajkot,"Calendar Year (Jan - Dec), 2021",3,108,2262,63.05,51.02,74.11,50.84,63.51,70.98,72.79,53.27,46.37,71.3,67.23,57.18,43.61,68.84,45.74,58.73,49.21,44.84,41.62,58.08,46.75,72.95,50.13,55.48
India,Gujarat,Sabar Kantha,"Calendar Year (Jan - Dec), 2021",3,105,2295,66.56,55.97,72.56,54.03,61.56,66.34,73.11,56.4,42.11,65.91,69.67,62.61,43.6,70.29,51.8,64.01,51.76,46.03,45.29,51.49,51.81,69.57,52.04,59.23
India,Gujarat,Surat,"Calendar Year (Jan - Dec), 2021",3,108,2811,69.73,53.47,72.73,57.92,68.92,74.97,75.46,62.68,53.49,73.17,71.73,67.22,51.21,77.37,61.06,72.14,57.3,54.28,52.17,63.25,57.38,79.62,64.08,59.94
India,Gujarat,Surendranagar,"Calendar Year (Jan - Dec), 2021",3,102,2352,64.76,54.09,77.33,48.49,61.28,73.03,69.9,59.08,44.54,71.77,65.79,60.3,38.35,72.01,50.28,63.29,46.38,50.73,38.48,56.82,50.94,72.14,57.9,62.47
India,Gujarat,Tapi,"Calendar Year (Jan - Dec), 2021",3,99,1962,64.42,49.19,66.61,50.19,59.55,68.05,71.31,56.15,42.95,63.5,63.04,57.94,39.98,68.57,49.28,58.79,48.51,43.45,44.21,49.12,47.38,68.29,51.76,50.49
India,Gujarat,Vadodara,"Calendar Year (Jan - Dec), 2021",3,129,3387,68.15,58.02,73.25,60.05,65.71,77.64,76.49,62.25,52.37,73.64,71.98,68.94,51.45,77.79,57.92,65.29,59.83,53.65,48.93,64.87,59.59,80,66.33,63.95
India,Gujarat,Valsad,"Calendar Year (Jan - Dec), 2021",3,102,2364,65.87,52.06,64.96,52.69,63.13,72.83,74.49,57.45,47.53,69.02,66.98,61.98,47.83,74.68,54.1,62.23,53.06,43.55,46.32,56.08,45.77,78.84,58.66,53.41
India,Haryana,Ambala,"Calendar Year (Jan - Dec), 2021",3,132,2862,49.57,37.21,54.07,42.62,54.03,64.37,57.6,44.6,37.71,53.43,53.62,52.46,34.73,60.9,39.21,45.02,39.06,33.63,35.2,51.8,41.01,64.99,47.03,46.37
India,Haryana,Bhiwani,"Calendar Year (Jan - Dec), 2021",3,93,2163,52.13,41.82,61.28,42.3,56.34,65.32,61.37,52.9,37.51,51.98,55.22,51.21,42.19,67.66,47.03,50.18,47.69,32.9,38.86,52.96,46.91,71.42,53.5,48.67
India,Haryana,Charki Dadri,"Calendar Year (Jan - Dec), 2021",3,96,2076,51.62,43.29,56.38,47.11,60,67.52,57.98,49.07,40.57,52.94,53.89,49.55,41.09,64.19,47.71,47.75,45.45,37.54,37.34,55.43,46.42,68.32,50.24,47.27
India,Haryana,Faridabad,"Calendar Year (Jan - Dec), 2021",3,90,2355,53.63,42.74,60.91,48.22,60.23,70.05,60.44,51.4,42.59,59.98,59.16,56.14,40.76,69.22,47.85,57.43,49.75,40.98,39.79,56.75,47.47,73.44,56.45,51.34
India,Haryana,Fatehabad,"Calendar Year (Jan - Dec), 2021",3,84,2217,55.63,51.25,64.15,55.4,63.4,67.7,63.48,49.9,43.9,60.84,60.32,56.4,35.4,70.33,49.72,60.51,47.09,40.68,37.92,53.11,47.86,71.65,56.76,50.96
